FID,FID_1,OBJECTID,Id,gridcode,area,perimeter,iso,ORIG_FID,FID_2,MUNI_NUM,MUNI_NAME,MUNI_TYPE,MUNI_NAME_,GOVT_JURIS,COUNTY_NAM,STATE_NAME,STATE_ABBR,FIPS_STATE,FIPS_COUNT,FIPS_MUNI,FIPS_CODE_,SHAPE_AREA,SHAPE_LEN
11375,11176,49257,49257,1,250295,4147,0.182891688000000,11176,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11376,11177,49259,49259,1,2584514,24482,0.054186982000000,11177,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11377,11180,49273,49273,1,900,120,0.785398163000000,11180,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11378,11181,49274,49274,1,41496,848,0.725144228000000,11181,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11379,11188,49303,49303,1,2700,217,0.720533472000000,11188,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11380,11189,49305,49305,1,217854,2384,0.481684754000000,11189,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11381,11195,49332,49332,1,2113,215,0.574423821000000,11195,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11382,11198,49359,49359,1,9360,411,0.696309097000000,11198,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11383,11200,49378,49378,1,900,120,0.785398163000000,11200,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11384,11201,49379,49379,1,726843,3744,0.651596580000000,11201,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11385,11202,49381,49381,1,12282,461,0.726234884000000,11202,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11386,11204,49396,49396,1,900,120,0.785398163000000,11204,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11387,11210,49423,49423,1,576,112,0.577027222000000,11210,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11388,11211,49424,49424,1,1229,170,0.534396868000000,11211,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11389,11220,49488,49488,1,368197,2802,0.589323620000000,11220,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11390,11231,49533,49533,1,900,120,0.785398163000000,11231,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11391,11238,49559,49559,1,16679,1033,0.196417071000000,11238,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11392,11243,49576,49576,1,44885,1301,0.333239520000000,11243,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11393,11244,49579,49579,1,765842,3527,0.773638590000000,11244,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11394,11251,49620,49620,1,900,120,0.785398163000000,11251,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11395,11252,49621,49621,1,578915,4215,0.409476996000000,11252,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11396,11255,49631,49631,1,1153487,6000,0.402642921000000,11255,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11397,11265,49683,49683,1,576,112,0.577027222000000,11265,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11398,11268,49717,49717,1,280912,3559,0.278691793000000,11268,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11399,11269,49718,49718,1,500455,3948,0.403478696000000,11269,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11400,11270,49719,49719,1,900,120,0.785398163000000,11270,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11401,11273,49734,49734,1,900,120,0.785398163000000,11273,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11402,11274,49739,49739,1,1407094,8181,0.264192321000000,11274,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11403,11277,49756,49756,1,60237,1627,0.285955262000000,11277,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11404,11278,49760,49760,1,240712,2013,0.746483230000000,11278,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11405,11280,49770,49770,1,152471,2232,0.384599515000000,11280,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11406,11291,49862,49862,1,16200,577,0.611467322000000,11291,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11407,11296,49880,49880,1,1491775,8089,0.286499269000000,11296,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11408,11297,49883,49883,1,912705,4372,0.600039703000000,11297,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11409,11306,49915,49915,1,900,120,0.785398163000000,11306,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11410,11309,49928,49928,1,576,112,0.577027222000000,11309,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11411,11310,49929,49929,1,72891,1458,0.430892291000000,11310,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11412,11311,49930,49930,1,54246,1152,0.513656308000000,11311,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11413,11312,49931,49931,1,900,120,0.785398163000000,11312,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11414,11313,49933,49933,1,1100587,5060,0.540173418000000,11313,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11415,11317,49946,49946,1,900,120,0.785398163000000,11317,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11416,11318,49949,49949,1,4191,269,0.727818289000000,11318,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11417,11322,49976,49976,1,616,113,0.606224786000000,11322,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11418,11323,49988,49988,1,576,112,0.577027222000000,11323,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11419,11324,50003,50003,1,900,120,0.785398163000000,11324,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11420,11325,50004,50004,1,616,113,0.606224786000000,11325,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11421,11326,50006,50006,1,7661,457,0.460959666000000,11326,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11422,11327,50008,50008,1,778279,4126,0.574495629000000,11327,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11423,11328,50020,50020,1,7416,426,0.513523576000000,11328,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11424,11331,50044,50044,1,616,113,0.606224786000000,11331,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11425,11333,50059,50059,1,616,113,0.606224786000000,11333,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11426,11334,50062,50062,1,576,112,0.577027222000000,11334,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11427,11339,50099,50099,1,3971,329,0.461018077000000,11339,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11428,11340,50101,50101,1,576,112,0.577027222000000,11340,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11429,11341,50102,50102,1,36095,1017,0.438545849000000,11341,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11430,11345,50114,50114,1,616,113,0.606224786000000,11345,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11431,11349,50140,50140,1,2700,240,0.589048623000000,11349,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11432,11350,50150,50150,1,505577,7228,0.121607647000000,11350,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
